batter,total_runs,batting_avg,strike_rate,innings,dismissals,balls_faced,most_active_year
Vijaykumar Vyshak,14,7.0,116.66666666666667,4,2.0,12,2023
MDKJ Perera,14,7.0,107.6923076923077,2,2.0,13,2013
FA Allen,14,7.0,73.68421052631578,3,2.0,19,2021
F Behardien,14,7.0,107.6923076923077,3,2.0,13,2016
MP Breetzke,14,14.0,116.66666666666667,1,1.0,12,2025
DT Patil,13,6.5,100.0,2,2.0,13,2008
DR Shorey,13,6.5,76.47058823529412,2,2.0,17,2019
KJ Abbott,13,13.0,162.5,3,1.0,8,2016
S Badree,13,2.6,56.52173913043478,5,5.0,23,2017
Mustafizur Rahman,13,6.5,54.166666666666664,7,2.0,24,2021
Arjun Tendulkar,13,13.0,144.44444444444443,1,1.0,9,2023
Harsh Dubey,13,6.5,144.44444444444443,4,2.0,9,2026
MA Wood,12,6.0,150.0,3,2.0,8,2018
K Kartikeya,12,3.0,70.58823529411765,4,4.0,17,2023
Mujeeb Ur Rahman,12,4.0,80.0,6,3.0,15,2018
T Thushara,12,6.0,66.66666666666666,4,2.0,18,2010
AR Bawne,12,,100.0,1,,12,2017
Karanveer Singh,12,12.0,70.58823529411765,4,1.0,17,2015
DAJ Bracewell,12,,133.33333333333331,1,,9,2012
DG Nalkande,12,6.0,100.0,2,2.0,12,2024
K Upadhyay,12,,133.33333333333331,2,,9,2012
AA Chavan,12,6.0,109.09090909090908,3,2.0,11,2012
T Henderson,11,5.5,68.75,2,2.0,16,2009
DNT Zoysa,11,11.0,122.22222222222223,2,1.0,9,2008
T Kohli,11,3.6666666666666665,57.89473684210527,3,3.0,19,2008
M Ntini,11,11.0,61.111111111111114,2,1.0,18,2008
BB Sran,10,10.0,71.42857142857143,7,1.0,14,2018
Mukesh Kumar,10,10.0,55.55555555555556,5,1.0,18,2023
VG Arora,10,2.5,38.46153846153847,10,4.0,26,2022
AG Murtaza,10,10.0,71.42857142857143,3,1.0,14,2011
SMSM Senanayake,10,10.0,58.82352941176471,4,1.0,17,2013
D du Preez,10,10.0,76.92307692307693,1,1.0,13,2009
TD Paine,10,5.0,38.46153846153847,2,2.0,26,2011
X Thalaivan Sargunam,10,10.0,58.82352941176471,1,1.0,17,2013
KAJ Roach,10,10.0,111.11111111111111,1,1.0,9,2010
Simarjeet Singh,10,3.3333333333333335,66.66666666666666,6,3.0,15,2022
RK Bhui,10,2.5,38.46153846153847,4,4.0,26,2019
J Theron,10,5.0,83.33333333333334,4,2.0,12,2010
JE Root,10,10.0,66.66666666666666,1,1.0,15,2023
AA Kulkarni,9,4.5,112.5,2,2.0,8,2024
AA Noffke,9,9.0,90.0,1,1.0,10,2008
M Prasidh Krishna,9,3.0,37.5,7,3.0,24,2022
SM Harwood,9,,64.28571428571429,2,,14,2009
Shivang Kumar,9,4.5,150.0,2,2.0,6,2026
L Wood,9,,300.0,1,,3,2024
PWA Mulder,9,9.0,81.81818181818183,1,1.0,11,2025
TM Srivastava,8,8.0,72.72727272727273,3,1.0,11,2008
TS Mills,8,2.0,57.14285714285714,5,4.0,14,2017
SH Johnson,8,,72.72727272727273,5,,11,2024
Jaskaran Singh,8,8.0,72.72727272727273,4,1.0,11,2010
JPR Scantlebury-Searles,8,8.0,133.33333333333331,2,1.0,6,2018
KT Maphaka,8,,400.0,1,,2,2025
CK Langeveldt,8,4.0,88.88888888888889,2,2.0,9,2011
CJ McKay,8,8.0,53.333333333333336,1,1.0,15,2012
P Chopra,8,8.0,133.33333333333331,1,1.0,6,2018
Akash Madhwal,8,,57.14285714285714,2,,14,2025
OC McCoy,8,8.0,160.0,1,1.0,5,2022
Pankaj Singh,7,3.5,58.333333333333336,5,2.0,12,2008
Ankit Soni,7,3.5,77.77777777777779,3,2.0,9,2017
MJ Henry,7,3.5,70.0,2,2.0,10,2026
AN Ghosh,7,3.5,87.5,2,2.0,8,2009
VS Malik,7,7.0,100.0,2,1.0,7,2010
V Viyaskanth,7,,140.0,1,,5,2024
UA Birla,7,7.0,50.0,1,1.0,14,2013
IS Sodhi,7,3.5,41.17647058823529,2,2.0,17,2019
Suryansh Shedge,7,2.3333333333333335,63.63636363636363,3,3.0,11,2025
I Malhotra,7,,175.0,1,,4,2011
DM Bravo,6,,120.0,1,,5,2017
DA Payne,6,,120.0,1,,5,2026
Mukesh Choudhary,6,6.0,100.0,2,1.0,6,2022
SS Shaikh,6,6.0,85.71428571428571,1,1.0,7,2009
JP Behrendorff,6,,66.66666666666666,2,,9,2023
SB Joshi,6,3.0,42.857142857142854,2,2.0,14,2008
R Minz,6,3.0,40.0,2,2.0,15,2025
PSP Handscomb,6,6.0,50.0,1,1.0,12,2016
BA Bhatt,6,6.0,85.71428571428571,2,1.0,7,2011
Arshad Khan (2),5,5.0,125.0,1,1.0,4,2024
SJ Srivastava,5,5.0,100.0,4,1.0,5,2011
B Stanlake,5,,250.0,1,,2,2018
Prince Yadav,5,,50.0,2,,10,2025
Fazalhaq Farooqi,5,,33.33333333333333,3,,15,2022
KMDN Kulasekara,5,,166.66666666666669,1,,3,2012
B Laughlin,5,2.5,38.46153846153847,4,2.0,13,2013
Shivam Sharma,5,5.0,166.66666666666669,2,1.0,3,2014
P Awana,5,2.5,35.714285714285715,5,2.0,14,2013
VRV Singh,4,2.0,133.33333333333331,2,2.0,3,2008
Auqib Nabi,4,4.0,200.0,1,1.0,2,2026
T Natarajan,4,,57.14285714285714,3,,7,2020
RS Sodhi,4,,200.0,1,,2,2010
GD McGrath,4,4.0,80.0,2,1.0,5,2008
Yash Dayal,4,1.3333333333333333,44.44444444444444,4,3.0,9,2025
A Tomar,4,4.0,50.0,1,1.0,8,2022
A Dananjaya,4,,80.0,1,,5,2018
A Uniyal,4,4.0,57.14285714285714,2,1.0,7,2010
FH Edwards,4,4.0,80.0,2,1.0,5,2009
A Chandila,4,,57.14285714285714,2,,7,2013
DP Nannes,4,4.0,30.76923076923077,2,1.0,13,2010
CRD Fernando,4,,133.33333333333331,2,,3,2010
Liton Das,4,4.0,100.0,1,1.0,4,2023
GC Viljoen,3,1.5,42.857142857142854,3,2.0,7,2019
Younis Khan,3,3.0,42.857142857142854,1,1.0,7,2008
JE Taylor,3,3.0,100.0,2,1.0,3,2011
M Tiwari,3,3.0,75.0,1,1.0,4,2025
Kamran Khan,3,3.0,60.0,1,1.0,5,2009
L Ngidi,3,3.0,42.857142857142854,2,1.0,7,2026
S Tyagi,3,3.0,75.0,1,1.0,4,2010
D Kalyankrishna,3,3.0,37.5,1,1.0,8,2008
R Ninan,3,3.0,50.0,1,1.0,6,2011
RJW Topley,3,,50.0,1,,6,2024
BAW Mendis,3,1.5,50.0,3,2.0,6,2013
Mohammad Asif,3,1.5,50.0,2,2.0,6,2008
N Burger,3,,60.0,1,,5,2026
S Randiv,2,2.0,50.0,1,1.0,4,2011
T Shamsi,2,,50.0,1,,4,2021
VS Yeligati,2,2.0,100.0,1,1.0,2,2008
H Das,2,2.0,40.0,1,1.0,5,2008
A Singh,2,0.5,20.0,5,4.0,10,2011
Shoaib Akhtar,2,2.0,28.57142857142857,1,1.0,7,2008
GHS Garton,2,2.0,50.0,2,1.0,4,2021
KP Appanna,2,2.0,50.0,3,1.0,4,2010
KK Ahmed,2,0.4,22.22222222222222,6,5.0,9,2020
Shivam Singh,2,,66.66666666666666,1,,3,2024
BR Sharath,2,2.0,40.0,1,1.0,5,2024
Mashrafe Mortaza,2,,100.0,1,,2,2009
Mohammad Ashraful,2,2.0,20.0,1,1.0,10,2009
SB Wagh,2,1.0,66.66666666666666,2,2.0,3,2011
RG More,2,,100.0,1,,2,2015
RJ Gleeson,2,,100.0,1,,2,2024
RS Gavaskar,2,2.0,25.0,1,1.0,8,2010
Abdul Basith,1,,100.0,1,,1,2023
SE Bond,1,1.0,50.0,1,1.0,2,2010
P Parameswaran,1,,50.0,2,,2,2012
PVSN Raju,1,,100.0,1,,1,2025
BE Hendricks,1,1.0,33.33333333333333,2,1.0,3,2015
PM Sarvesh Kumar,1,,50.0,1,,2,2008
MS Bhandage,1,1.0,25.0,1,1.0,4,2025
Mohit Rathee,1,,50.0,1,,2,2023
MJ Suthar,1,1.0,50.0,1,1.0,2,2024
DJ Muthuswami,1,1.0,33.33333333333333,1,1.0,3,2015
DP Vijaykumar,1,,100.0,1,,1,2008
LB Williams,1,,50.0,1,,2,2024
LE Plunkett,1,1.0,33.33333333333333,2,1.0,3,2018
DS Rathi,1,1.0,16.666666666666664,2,1.0,6,2025
NJ Rimmington,1,,100.0,1,,1,2011
Shoaib Ahmed,1,0.5,16.666666666666664,3,2.0,6,2009
HF Gurney,1,,20.0,1,,5,2019
M de Lange,1,1.0,50.0,1,1.0,2,2014
KA Maharaj,1,1.0,50.0,1,1.0,2,2024
SZ Mulani,1,,100.0,1,,1,2024
Ashok Sharma,0,,0.0,1,,1,2026
S Kaushik,0,0.0,0.0,1,1.0,1,2016
Abdur Razzak,0,,0.0,1,,2,2008
RR Bhatkal,0,0.0,0.0,1,1.0,2,2012
RP Meredith,0,,0.0,2,,3,2023
C Nanda,0,0.0,0.0,1,1.0,1,2009
V Pratap Singh,0,0.0,0.0,1,1.0,1,2012
S Lamichhane,0,0.0,0.0,1,1.0,1,2019
S Ladda,0,0.0,0.0,2,1.0,9,2010
R Sanjay Yadav,0,0.0,0.0,1,1.0,2,2022
U Kaul,0,,0.0,1,,1,2008
MJ Owen,0,0.0,0.0,1,1.0,2,2025
ND Doshi,0,0.0,0.0,1,1.0,13,2011
Musheer Khan,0,0.0,0.0,1,1.0,3,2025
Mayank Dagar,0,0.0,0.0,1,1.0,1,2024
LG Pretorius,0,0.0,0.0,1,1.0,2,2026
KS Rathore,0,0.0,0.0,1,1.0,5,2025
KM Asif,0,0.0,0.0,1,1.0,2,2023
SS Cottrell,0,0.0,0.0,1,1.0,2,2020
KR Sen,0,,0.0,1,,3,2022
YA Abdulla,0,,0.0,1,,1,2010
JL Denly,0,0.0,0.0,1,1.0,1,2019
K Yadav,0,,0.0,1,,4,2021
L Ablish,0,,0.0,1,,2,2011
Y Prithvi Raj,0,,0.0,1,,1,2019
Sunny Gupta,0,0.0,0.0,1,1.0,1,2012
IC Pandey,0,0.0,0.0,1,1.0,2,2013
