batter,total_runs,batting_avg,strike_rate,innings,dismissals,balls_faced,most_active_year
SS Prabhudessai,126,12.6,118.86792452830188,10,10.0,106,2022
MC Juneja,125,17.857142857142858,97.65625,7,7.0,128,2013
MM Sharma,125,6.944444444444445,91.91176470588235,30,18.0,136,2017
BB Samantray,125,25.0,110.61946902654867,8,5.0,113,2013
B Lee,124,12.4,127.83505154639174,19,10.0,97,2009
Harpreet Singh,123,17.571428571428573,103.36134453781514,8,7.0,119,2023
AB McDonald,123,24.6,123.0,9,5.0,100,2010
DL Chahar,123,15.375,138.20224719101125,17,8.0,89,2018
NK Patel,121,30.25,101.68067226890756,6,4.0,119,2008
DL Vettori,121,15.125,107.07964601769913,16,8.0,113,2009
TG Southee,120,9.23076923076923,112.14953271028037,19,13.0,107,2018
AC Blizzard,120,17.142857142857142,133.33333333333331,7,7.0,90,2011
MW Short,119,17.0,120.2020202020202,7,7.0,99,2023
Arshad Khan,119,23.8,141.66666666666669,10,5.0,84,2024
Z Khan,117,8.357142857142858,82.97872340425532,27,14.0,141,2008
RJ Harris,117,9.75,104.46428571428572,21,12.0,112,2010
Misbah-ul-Haq,117,16.714285714285715,144.44444444444443,8,7.0,81,2008
KK Cooper,116,12.88888888888889,170.58823529411765,12,9.0,68,2014
Aman Hakim Khan,115,12.777777777777779,110.57692307692308,10,9.0,104,2023
DJM Short,115,16.428571428571427,116.16161616161615,7,7.0,99,2018
M Kartik,113,16.142857142857142,104.62962962962963,14,7.0,108,2008
Mohammed Siraj,112,11.2,91.05691056910568,21,10.0,123,2022
MA Starc,111,10.090909090909092,93.27731092436974,21,11.0,119,2014
DJ Harris,111,27.75,109.9009900990099,4,4.0,101,2012
GD Phillips,107,11.88888888888889,125.88235294117646,11,9.0,85,2021
JDP Oram,106,13.25,98.14814814814815,11,8.0,108,2009
LJ Wright,106,21.2,176.66666666666666,5,5.0,60,2013
DS Kulkarni,104,11.555555555555555,96.29629629629629,20,9.0,108,2014
RJ Quiney,103,14.714285714285714,100.98039215686273,7,7.0,102,2009
J Overton,102,51.0,156.92307692307693,5,2.0,65,2026
MS Gony,99,9.9,139.43661971830986,15,10.0,71,2013
Azmatullah Omarzai,99,12.375,133.7837837837838,9,8.0,74,2025
SD Chitnis,99,14.142857142857142,111.23595505617978,8,7.0,89,2012
CJ Ferguson,98,16.333333333333332,83.76068376068376,8,6.0,117,2012
MJ Clarke,98,16.333333333333332,104.25531914893618,6,6.0,94,2012
Mohammed Shami,98,5.764705882352941,98.0,31,17.0,100,2017
PN Mankad,97,32.333333333333336,132.87671232876713,5,3.0,73,2023
JDS Neesham,92,10.222222222222221,98.9247311827957,10,9.0,93,2014
PR Shah,92,11.5,101.0989010989011,9,8.0,91,2009
DJ Jacobs,92,13.142857142857142,93.87755102040816,7,7.0,98,2011
PHKD Mendis,92,23.0,133.33333333333331,5,4.0,69,2025
AJ Tye,91,10.11111111111111,119.73684210526316,13,9.0,76,2018
RT Ponting,91,10.11111111111111,71.09375,9,9.0,128,2013
S Rana,91,22.75,112.34567901234568,8,4.0,81,2014
AD Nath,90,9.0,91.83673469387756,10,10.0,98,2019
SL Malinga,88,5.5,88.88888888888889,20,16.0,99,2012
Iqbal Abdulla,88,44.0,104.76190476190477,13,2.0,84,2016
AP Majumdar,87,21.75,114.4736842105263,4,4.0,76,2012
Ankit Sharma,87,12.428571428571429,129.8507462686567,10,7.0,67,2014
TA Boult,86,8.6,103.6144578313253,25,10.0,83,2022
MJ McClenaghan,85,6.538461538461538,121.42857142857142,20,13.0,70,2016
RE Levi,83,13.833333333333334,113.69863013698631,6,6.0,73,2012
NM Coulter-Nile,82,7.454545454545454,113.88888888888889,16,11.0,72,2015
WPUJC Vaas,81,10.125,110.95890410958904,11,8.0,73,2010
LA Carseldine,81,20.25,119.11764705882352,5,4.0,68,2009
Shahid Afridi,81,10.125,176.08695652173913,9,8.0,46,2008
CJ Jordan,81,8.1,105.1948051948052,12,10.0,77,2020
PWH de Silva,81,5.4,92.04545454545455,19,15.0,88,2022
FH Allen,81,16.2,192.85714285714286,5,5.0,42,2026
RV Patel,80,16.0,109.58904109589041,7,5.0,73,2023
AD Mascarenhas,79,8.777777777777779,101.28205128205127,11,9.0,78,2009
